arch,subarch,arch_dim,network,array,node_memory,router,total
mugi,vlp,128x8,multi_node_4x4,21.798516024806148,76.75482677460249,1.4466572005913632,35.07249124344
mugi,vlp,256x8,multi_node_4x4,29.93751721196259,69.05015592081055,1.012326867226858,50.12004881288
mugi,lut,128x8,multi_node_4x4,30.521132473318303,68.1935708943532,1.2852966323284962,39.475612651439995
mugi,lut,256x8,multi_node_4x4,40.4319297962077,58.707376213278295,0.8606939905140033,58.949954988879995
carat,vlp,128x8,multi_node_4x4,36.038527799483376,62.66755111943121,1.293921081085409,39.21249351424
carat,vlp,256x8,multi_node_4x4,51.918051503545435,47.26257107563304,0.8193774208215259,61.92246785264
systolic,figna,8x8,multi_node_4x4,12.144444985455333,86.0782639233171,1.777291091227573,28.54786829824
systolic,figna,16x16,multi_node_4x4,29.372991611199666,69.51135431257455,1.1156540762257823,45.47813975784
simd,figna,8x8,multi_node_4x4,11.638488972429375,86.57398460046299,1.7875264271076459,28.38440385024
simd,figna,16x16,multi_node_4x4,28.447207975341698,70.42251387882217,1.130278145836125,44.889722221839996
